Drug Name,SMILES
Picoplatin,CC1=CC=CC=N1.N.[Cl-].[Cl-].[Pt+2]
Voacamine,CC[C@H]1C[C@H]2C[C@@]3([C@H]1N(C2)CCC4=C3NC5=CC(=C(C=C45)OC)[C@H]6C[C@@H]\7C([C@@H](CC8=C6NC9=CC=CC=C89)N(C/C7=C/C)C)C(=O)OC)C(=O)OC
Vatalanib,C1=CC=C2C(=C1)C(=NN=C2NC3=CC=C(C=C3)Cl)CC4=CC=NC=C4
Elacridar,COC1=CC=CC2=C1NC3=C(C2=O)C=CC=C3C(=O)NC4=CC=C(C=C4)CCN5CCC6=CC(=C(C=C6C5)OC)OC
Edotecarin,C1=CC2=C(C=C1O)NC3=C4C(=C5C(=C23)C(=O)N(C5=O)NC(CO)CO)C6=C(N4[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)C=C(C=C6)O
AZD3409,CC(C)OC(=O)[C@H](CCSC)NC(=O)C1=C(C=CC(=C1)NC[C@@H]2C[C@@H](CN2)SC(=O)C3=CN=CC=C3)CCC4=CC=C(C=C4)F
Galiximab,N/A
Tesmilifene,CCN(CC)CCOC1=CC=C(C=C1)CC2=CC=CC=C2
Sitimagene ceradenovec,N/A
G17DT Immunogen,N/A
Idronoxil,C1C(=CC2=C(O1)C=C(C=C2)O)C3=CC=C(C=C3)O
Ranpirnase,N/A
Verpasep caltespen,N/A
Tipifarnib,CN1C=NC=C1[C@@](C2=CC=C(C=C2)Cl)(C3=CC4=C(C=C3)N(C(=O)C=C4C5=CC(=CC=C5)Cl)C)N
Oregovomab,N/A
Lucanthone,CCN(CC)CCNC1=C2C(=C(C=C1)C)SC3=CC=CC=C3C2=O
NV1020,N/A
Canfosfamide,C1=CC=C(C=C1)[C@H](C(=O)O)NC(=O)[C@H](CS(=O)(=O)CCOP(=O)(N(CCCl)CCCl)N(CCCl)CCCl)NC(=O)CC[C@@H](C(=O)O)N
LErafAON,N/A
Banoxantrone,C[N+](C)(CCNC1=C2C(=C(C=C1)NCC[N+](C)(C)[O-])C(=O)C3=C(C=CC(=C3C2=O)O)O)[O-]
M40403,C1CC[C@@H]2[C@@H](C1)NCCN[C@@H]3CCCC[C@H]3NCC4=CC=CC(=N4)CN2.[Cl-].[Cl-].[Mn+2]
